ID,elevation,canton,municipality,Latitude,Longitude,Done,Author,Date,Priority,kontakt,commentar
MP7-GR-TI-11,1420,GR,Tiefencastel,46.66277951,9.538589006,,,,MP7,,
MP7-GR-TI-12,1448,GR,Tiefencastel,46.66098105,9.538519062,,,,MP7,,
MP7-GR-TI-13,1474,GR,Tiefencastel,46.66100512,9.537212975,,,,MP7,,
MP7-GR-TI-14,1506,GR,Tiefencastel,46.66751571,9.525701439,,,,MP7,,
MP7-GR-TI-15,1921,GR,Tiefencastel,46.65499813,9.521297049,,,,MP7,,
MP7-GR-TI-16,1950,GR,Tiefencastel,46.65232429,9.519887129,,,,MP7,,
MP7-GR-TI-17,1955,GR,Tiefencastel,46.65592124,9.520025758,,,,MP7,,
MP7-GR-TI-18,2028,GR,Tiefencastel,46.65673956,9.517589914,,,,MP7,,
MP7-GR-TI-7,1214,GR,Tiefencastel,46.66810259,9.542717641,,,,MP7,,
MP7-GR-TI-8,1247,GR,Tiefencastel,46.66905004,9.540140127,,,,MP7,,
MP7-GR-TI-9,1295,GR,Tiefencastel,46.66912225,9.536221278,,,,MP7,,
MP7-GR-TS-3,1727,GR,Tschappina,46.70076623,9.375265548,,,,MP7,,
MP7-GR-TS-4,1811,GR,Tschappina,46.7018147,9.369908417,,,,MP7,,
MP7-GR-UR-2,1401,GR,Urmein,46.70218512,9.397551716,,,,MP7,,
MP7-GR-UR-3,1407,GR,Urmein,46.69903923,9.395345024,,,,MP7,,
MP7-LU-GR-7,867,LU,Greppen,47.05737543,8.446918035,,,,MP7,,
P1-BE-GR-51,1436,BE,Grindelwald,46.64209313,8.008152616,,,,P1,"wie BE-GR-51, genaue Parzelle nicht gemeldet",
P1-GR-TU-1,1236,GR,Tujetsch,46.67868707,8.803612746,,,,P1,,
P1-GR-TU-10,1555,GR,Tujetsch,46.65947457,8.717904111,,,,P1,,
P1-GR-TU-11,1563,GR,Tujetsch,46.67945942,8.748521114,,,,P1,,
P1-GR-TU-12,1599,GR,Tujetsch,46.6699605,8.734999034,,,,P1,,
P1-GR-TU-13,1720,GR,Tujetsch,46.66391073,8.723432392,,,,P1,,
P1-GR-TU-14,1757,GR,Tujetsch,46.65498939,8.698146948,,,,P1,,
P1-GR-TU-15,1839,GR,Tujetsch,46.66610237,8.722151537,,,,P1,,
P1-GR-TU-2,1380,GR,Tujetsch,46.67890433,8.7822981,,,,P1,,
P1-GR-TU-3,1419,GR,Tujetsch,46.67210588,8.747231798,,,,P1,,
P1-GR-TU-4,1459,GR,Tujetsch,46.67377521,8.744449033,,,,P1,,
P1-GR-TU-5,1475,GR,Tujetsch,46.680057,8.757555281,,,,P1,,
P1-GR-TU-6,1475,GR,Tujetsch,46.68339537,8.775272081,,,,P1,,
P1-GR-TU-7,1510,GR,Tujetsch,46.66949336,8.740463893,,,,P1,,
P1-GR-TU-8,1521,GR,Tujetsch,46.6758095,8.742001678,,,,P1,,
P1-GR-TU-9,1550,GR,Tujetsch,46.66124677,8.721918553,,,,P1,,
P2-BE-GR-52,970,BE,Grindelwald,46.63373342,7.973405341,,,,P2,,
P2-BE-GR-53,1200,BE,Grindelwald,46.6311782,8.068577824,,,,P2,,
P2-BE-GR-54,1206,BE,Grindelwald,46.63235261,8.042734677,,,,P2,,
P2-BE-GR-55,1210,BE,Grindelwald,46.6367164,8.014769667,,,,P2,,
P2-BE-GR-56,1440,BE,Grindelwald,46.64370138,8.055230914,,,,P2,,
P2-GR-TU-16,1329.72,GR,Tujetsch,46.67711419,8.807623688,,,,P2,,
P2-GR-TU-17,1460.0976,GR,Tujetsch,46.68423429,8.782439112,,,,P2,,
P2-GR-TU-18,1569.24,GR,Tujetsch,46.68093466,8.749763708,,,,P2,,
P2-GR-TU-19,1584.7856,GR,Tujetsch,46.65191753,8.71159698,,,,P2,,
P3-BE-GR-57,1116,BE,Grindelwald,46.62846966,8.055566558,,,,P3,,
P3-BE-GR-58,1488,BE,Grindelwald,46.64387826,8.06075807,,,,P3,,
P3-BE-GR-59,1499,BE,Grindelwald,46.64555402,8.053658451,,,,P3,,
P3-GR-TU-20,1523,GR,Tujetsch,46.66964309,8.739957794,,,,P3,,
P3-GR-TU-21,1639,GR,Tujetsch,46.6737552,8.73516855,,,,P3,,
